City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
458,Buala,SB,77.13,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
459,Rawson,AR,69.87,clear sky,-43.3002,-65.1023,Hosteria Sampedro
461,Guerrero Negro,MX,65.98,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
462,Kawalu,ID,74.26,heavy intensity rain,-7.3817,108.2082,KOSAN UNGU UNSIK
464,Lima,PE,76.39,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
468,Banda Aceh,ID,78.53,overcast clouds,5.5577,95.3222,Sulthan Hotel International
471,Ambon,ID,77.43,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
473,Buraydah,SA,66.65,clear sky,26.326,43.975,فندق راحة السلام
479,Lake Charles,US,64.38,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
488,Dunmore Town,BS,75.29,broken clouds,25.5,-76.65,Coral Sands Hotel
492,Reporoa,NZ,72.41,overcast clouds,-38.4333,176.35,Reporoa
498,Lufilufi,WS,71.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
503,Stephenville,US,60.89,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
505,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
507,Tres Arroyos,AR,67.12,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
513,Flinders,AU,71.2,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
514,Nago,JP,66.27,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
523,Santa Barbara,US,67.82,clear sky,34.7333,-120.0343,Upper Ballard Campground
526,Pacific Grove,US,63.28,clear sky,36.6177,-121.9166,Lovers Point Inn
527,Tsiroanomandidy,MG,72.18,moderate rain,-18.7667,46.0333,Hotel Ravinala
528,Biak,ID,76.55,overcast clouds,-0.9131,122.8766,Penginapan Kim
529,Waingapu,ID,78.3,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
531,Bontang,ID,75.72,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
535,Gigmoto,PH,77.68,overcast clouds,13.7796,124.39,Cj's Travellers Inn
547,Palembang,ID,78.89,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
548,Qiongshan,CN,69.78,broken clouds,20.0058,110.3542,Sun City Restaurant
