City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Souillac,MU,-20.5167,57.5167,80.98,83,40,4.61,scattered clouds
236,Geraldton,AU,-28.7667,114.6,75.61,83,44,6.91,light rain
237,Safaga,EG,26.7292,33.9365,66.15,49,0,14.97,clear sky
238,Westport,US,41.1415,-73.3579,51.78,60,8,4.0,clear sky
239,Chapais,CA,49.7834,-74.8492,1.18,89,100,8.32,overcast clouds
240,Luanda,AO,-8.8368,13.2343,84.2,58,40,11.5,scattered clouds
241,Yarkovo,RU,57.4028,67.0786,1.72,82,100,13.13,overcast clouds
242,Point Fortin,TT,10.1833,-61.6833,85.93,60,8,12.21,clear sky
243,Casian,PH,11.035,119.7136,81.3,77,95,22.88,overcast clouds
244,Jaegerspris,DK,55.8554,11.9679,37.98,71,1,10.0,clear sky
245,Royal Leamington Spa,GB,52.3,-1.5333,46.18,66,97,1.01,overcast clouds
246,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,87.6,53,82,11.52,broken clouds
247,Ixtapa,MX,20.7,-105.2,60.03,72,0,5.75,clear sky
248,Sakakah,SA,29.9697,40.2064,56.77,39,95,9.33,overcast clouds
249,Katobu,ID,-4.9408,122.5276,76.14,92,100,0.89,overcast clouds
250,San Julian,MX,21.0167,-102.1667,55.92,39,0,6.64,clear sky
251,Lasem,ID,-6.6922,111.4527,76.87,90,100,1.86,overcast clouds
252,Pitea,SE,65.3172,21.4794,26.1,72,7,11.12,clear sky
253,Iqaluit,CA,63.7506,-68.5145,-2.31,84,100,0.0,light snow
254,Srandakan,ID,-7.9386,110.2506,78.28,85,100,2.73,light rain
255,Pilar,BR,-9.5972,-35.9567,89.53,39,87,13.58,overcast clouds
256,Gualaquiza,EC,-3.4,-78.55,77.29,62,96,2.53,light rain
257,Qaanaaq,GL,77.484,-69.3632,-25.85,71,0,7.67,clear sky
258,Georgetown,MY,5.4112,100.3354,81.9,80,20,2.3,few clouds
259,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,82,100,4.43,overcast clouds
260,Mosquera,CO,4.7059,-74.2302,62.69,59,75,2.3,broken clouds
261,Kaeo,NZ,-35.1,173.7833,75.33,98,98,9.53,overcast clouds
262,Zelenoborsk,RU,61.4669,64.0333,4.6,83,100,13.18,overcast clouds
263,Coquimbo,CL,-29.9533,-71.3436,68.72,71,51,6.76,broken clouds
264,Bhigvan,IN,18.3167,74.7667,76.64,28,10,10.04,clear sky
265,Te Anau,NZ,-45.4167,167.7167,53.47,91,81,1.5,broken clouds
266,Mayo,US,38.8876,-76.5119,57.24,53,0,14.0,clear sky
267,Sundumbili,ZA,-29.1337,31.3975,79.11,83,19,5.61,light rain
268,Centralia,US,46.7162,-122.9543,46.78,89,100,14.97,overcast clouds
269,Marystown,CA,47.1666,-55.1483,39.85,100,99,3.0,overcast clouds
270,Batticaloa,LK,7.7102,81.6924,78.85,84,100,8.59,overcast clouds
271,Verkhnyaya Inta,RU,65.9811,60.3094,8.76,72,100,15.99,overcast clouds
272,Celestun,MX,20.8667,-90.4,75.47,66,18,9.26,few clouds
273,Colquiri,BO,-17.4167,-67.1333,50.99,58,77,2.17,broken clouds
274,Thompson,CA,55.7435,-97.8558,-34.44,74,0,8.05,clear sky
275,Jalu,LY,29.0331,21.5482,59.23,42,0,7.11,clear sky
276,Sterling,US,39.0062,-77.4286,55.94,46,20,10.36,few clouds
277,Kavieng,PG,-2.5744,150.7967,81.73,75,98,6.31,light rain
278,Aklavik,CA,68.2191,-135.0107,-21.17,68,40,5.75,scattered clouds
279,Saint George,US,37.1041,-113.5841,56.35,65,0,0.0,clear sky
280,Jepelacio,PE,-6.1167,-76.95,78.04,58,100,4.09,overcast clouds
281,Krasnoselkup,RU,65.7,82.4667,-13.43,89,56,8.01,broken clouds
282,Lagoa,PT,39.05,-27.9833,59.13,72,41,11.83,scattered clouds
283,Touros,BR,-5.1989,-35.4608,88.7,58,56,13.44,light rain
284,Ussel,FR,45.55,2.3167,51.76,53,0,8.1,clear sky
285,Ziro,IN,27.6333,93.8333,34.34,96,60,2.73,broken clouds
286,Portland,US,45.5234,-122.6762,46.35,90,75,3.0,broken clouds
287,Manta,EC,-0.95,-80.7333,80.38,78,40,3.44,scattered clouds
288,Batemans Bay,AU,-35.7167,150.1833,65.19,85,56,6.96,broken clouds
289,Zalesovo,RU,53.9939,84.7431,-13.9,100,39,1.79,scattered clouds
290,Sobolevo,RU,54.4299,31.8996,23.61,91,83,5.55,broken clouds
291,Barra Do Bugres,BR,-15.0725,-57.1811,82.35,78,87,5.41,overcast clouds
292,Lebu,CL,-37.6167,-73.65,60.48,55,0,24.14,clear sky
293,Port Elizabeth,ZA,-33.918,25.5701,75.49,64,0,10.36,clear sky
294,Haines Junction,CA,60.7522,-137.5108,12.15,73,100,2.3,overcast clouds
295,Dzerzhinskoye,RU,56.8344,95.2283,-19.66,100,43,2.24,scattered clouds
296,Zwedru,LR,6.0667,-8.1281,99.27,17,50,4.5,scattered clouds
297,Xingyi,CN,24.1877,102.817,46.71,52,1,3.6,clear sky
298,Meadow Lake,US,34.8014,-106.5436,47.97,47,1,10.51,clear sky
299,Muroto,JP,33.2833,134.15,48.81,62,23,11.07,few clouds
300,Hambantota,LK,6.1241,81.1185,77.34,100,40,5.75,scattered clouds
301,Solnechnyy,RU,50.7214,136.6319,6.1,95,100,4.29,overcast clouds
302,Noumea,NC,-22.2763,166.4572,81.0,99,100,12.26,overcast clouds
303,Machaneng,BW,-23.1862,27.4886,92.34,12,0,14.67,clear sky
304,Buchanan,LR,5.8808,-10.0467,91.36,65,9,13.42,clear sky
305,Novo Aripuana,BR,-5.1206,-60.3797,77.18,94,100,1.83,light rain
306,Sorong,ID,-0.8833,131.25,78.01,86,100,6.64,overcast clouds
307,Nova Petropolis,BR,-29.3764,-51.1144,88.14,32,22,3.18,few clouds
308,Seoul,KR,37.5683,126.9778,33.24,73,75,2.3,mist
309,Ostrovnoy,RU,68.0531,39.5131,19.51,92,100,11.81,overcast clouds
310,Sayyan,YE,15.1718,44.3244,60.6,42,8,2.19,clear sky
311,Pangnirtung,CA,66.1451,-65.7125,3.2,55,100,14.97,light snow
312,Rumonge,BI,-3.9736,29.4386,73.51,83,96,4.56,light rain
313,Waddan,LY,29.1614,16.139,60.82,35,2,5.39,clear sky
314,Belmonte,BR,-15.8631,-38.8828,84.7,61,20,9.53,few clouds
315,Querecotillo,PE,-4.8378,-80.6456,84.49,45,80,5.06,broken clouds
316,Coos Bay,US,43.3665,-124.2179,47.98,83,0,6.44,clear sky
317,Borova,UA,50.1763,30.1043,40.33,93,100,5.48,overcast clouds
318,Dinard,FR,48.6314,-2.0614,48.58,57,0,3.44,clear sky
319,Tenenkou,ML,14.4572,-4.9169,89.53,7,1,13.2,clear sky
320,Caravelas,BR,-17.7125,-39.2481,87.3,54,10,10.18,clear sky
321,Dauphin,CA,51.1494,-100.0502,-12.86,70,0,5.75,clear sky
322,Hermiston,US,45.8404,-119.2895,47.1,93,0,3.44,clear sky
323,Manzanillo,CU,20.3433,-77.1167,84.9,53,0,6.44,clear sky
